route_id,route_short_name,route_long_name,route_color,route_color_id,route_text_color
TEAL,12,Teal,Teal,6991,ffffff
TEAL LATE NIGHT SUNDAY,120,Teal Late Night Sunday,Teal,6991,ffffff
TEAL SATURDAY,120,Teal Saturday,Teal,6991,ffffff
TEAL LATE NIGHT SATURDAY,120,Teal Late Night Saturday,Teal,6991,ffffff
TEAL LATE NIGHT,120,Teal Late Night,Teal,6991,ffffff
TEAL EVENING SATURDAY,120,Teal Evening Saturday,Teal,6991,ffffff
TEAL EVENING,120,Teal Evening,Teal,6991,ffffff
TEAL SUNDAY,120,Teal Sunday,Teal,6991,ffffff
5E GREEN EXPRESS 1 ALT,5,Green Express 1 Alternate,Green,8063,ffffff
5E GREEN EXPRESS ALT,5,Green Express Alternate,Green,8063,ffffff
GREENHOPPER,5,Greenhopper,Green,8063,ffffff
GREEN,5,Green,Green,8063,ffffff
GREEN EXPRESS ALT,5,Green Express 2 Alternate,Green,8063,ffffff
5W GREEN ALT 2,5,Green 2 Alternate,Green,8063,ffffff
GREEN ALT,5,Green Alternate,Green,8063,ffffff
5W GREEN EXPRESS 2,5,Green West Express,Green,8063,ffffff
GREEN EXPRESS,5,Green Express,Green,8063,ffffff
GREEN EVENING SATURDAY,50,Green Evening Saturday,Green,8063,ffffff
GREEN LATE NIGHT SATURDAY,50,Green Late Night Saturday,Green,8063,ffffff
GREEN SATURDAY,50,Green Saturday,Green,8063,ffffff
GREENHOPPER EVENING SATURDAY,50,Greenhopper Evening Saturday,Green,8063,ffffff
GREENHOPPER EVENING,50,Greenhopper Evening,Green,8063,ffffff
GREEN EVENING,50,Green Evening,Green,8063,ffffff
GREEN LATE NIGHT SUNDAY,50,Green Late Night Sunday,Green,8063,ffffff
GREEN LATE NIGHT,50,Green Late Night,Green,8063,ffffff
GREEN SUNDAY,50,Green Sunday,Green,8063,ffffff
GREY ALT,7,Grey Alternate,Grey,808285,0
GREY,7,Grey,Grey,808285,0
7E GREY ALT,7,Grey E Alternate,Grey,808285,0
7W GREY ALT,7,Grey W Alternate,Grey,808285,0
GREY SATURDAY,70,Grey Saturday,Grey,808285,0
GREY EVENING,70,Grey Evening,Grey,808285,0
GREY EVENING SATURDAY,70,Grey Evening Saturday,Grey,808285,0
GREY SUNDAY,70,Grey Sunday,Grey,808285,0
BROWN ALT PM,9,Brown Alternate PM,Brown,823822,ffffff
BROWN ALT,9,Brown A Alternate,Brown,823822,ffffff
BROWN,9,Brown,Brown,825622,ffffff
BROWN ALT1,9,Brown Alternate,Brown,825622,ffffff
NAVY,14,Navy,Navy,2b3088,ffffff
BLUE,4,Blue,Blue,355caa,ffffff
ILLINI,22,Illini,Illini,5a1d5a,ffffff
ILLINI LIMITED,22,Illini Limited,Illini,5a1d5a,ffffff
ILLINI EVENING SUNDAY,220,Illini Evening Sunday,Illini,5a1d5a,ffffff
ILLINI LIMITED SUNDAY,220,Illini Limited Sunday,Illini,5a1d5a,ffffff
ILLINI EVENING SATURDAY,220,Illini Evening Saturday,Illini,5a1d5a,ffffff
ILLINI LIMITED EVENING SATURDAY,220,Illini Limited Evening Saturday,Illini,5a1d5a,ffffff
ILLINI LIMITED EVENING,220,Illini Limited Evening,Illini,5a1d5a,ffffff
ILLINI EVENING,220,Illini Evening,Illini,5a1d5a,ffffff
