InstState,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AK,0.046861496,0.049197872,0.051716354,0.053517198,0.055226762,0.057497938,0.0604274,0.066093424,0.070482446,0.073952835,0.07640567,0.077630063,0.075682634,0.078558138,0.081235797,0.083579816,0.085475985
AL,0.011441763,0.01080506,0.01109913,0.012074419,0.012838822,0.013382897,0.014406297,0.015825389,0.018014279,0.020089858,0.022121371,0.024937971,0.022690626,0.024341287,0.026420913,0.027379114,0.02687191
AR,0.05967199,0.064645106,0.070210409,0.074602128,0.077469089,0.080759169,0.086640575,0.091789503,0.102231247,0.111719286,0.117828214,0.115432935,0.109043876,0.110464316,0.114297123,0.119018884,0.121693845
AZ,0.02716643,0.028001878,0.029998318,0.030939883,0.031857166,0.033317626,0.035420633,0.038337505,0.040611828,0.042644241,0.043788597,0.044892035,0.044074573,0.046291791,0.048241469,0.049113338,0.051430378
CA,0.486269975,0.517599253,0.561164375,0.612869038,0.618790013,0.643567459,0.685027775,0.739710013,0.794391351,0.845123874,0.879748179,0.892069904,0.859780176,0.88395824,0.91561846,0.958291029,1
CO,0.06109288,0.067696872,0.074117857,0.081605858,0.084582533,0.086812791,0.089395123,0.091837166,0.099126872,0.104282545,0.110590668,0.114563315,0.111184654,0.11392931,0.118131278,0.122663737,0.128937237
CT,0.062999391,0.066508001,0.069564263,0.075992442,0.078818935,0.080045127,0.082525389,0.090112763,0.094502684,0.099561233,0.106404887,0.107111285,0.105020868,0.105455229,0.105322583,0.107673796,0.108252944
DC,0.015140574,0.016771,0.01858893,0.020167197,0.021476125,0.021126748,0.022009858,0.023550804,0.023942449,0.025180781,0.025615592,0.02486243,0.025787357,0.025841765,0.026950599,0.027261306,0.027402946
DE,0.023186589,0.024192004,0.025957325,0.027005456,0.02917681,0.031052745,0.032725438,0.03554024,0.037584343,0.03934247,0.041748091,0.043783201,0.044252185,0.046687482,0.04844426,0.049319726,0.050316148
FL,0.18091169,0.195369697,0.208984612,0.223718703,0.238146134,0.252896413,0.267677717,0.287449673,0.314874202,0.33551443,0.346147274,0.336481175,0.324536255,0.330535918,0.333394336,0.34359282,0.356611501
