InstState,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NY,1928777,2441179,3124244,5487423,3301860,4229819,4244706,4997931,7556999,7821515,5788367,7286033,8149864,8677799,9476440,7410162,6377470
MA,1858747,818393,1966356,1624269,1621607,2594900,1419298,3452401,3848631,3725472,3083367,2346070,3856283,3825605,2154541,2358998,2815506
CA,1749844,1553503,1994152,3433451,2491062,1788585,4316963,2679706,3525039,5277452,3761462,5606165,6463196,6549857,7883435,4382686,6925582
PA,1586867,1112695,2045542,13102321,2199473,1778846,1114208,3298410,2547930,3879330,4971038,5133391,3185081,2321637,3507879,2671396,3511191
OH,899762,896049,539795,692545,1275318,751882,893431,1360551,2054731,992772,1596396,1258325,1595558,1120422,1528036,1073571,1665429
IL,857809,1083416,1268942,2870932,2955688,2301983,3368439,5093762,3380693,6156005,4440174,8714815,4025966,2255902,7064397,4681093,4952736
NC,779323,382791,977506,1068704,745682,891083,963998,1732331,1711282,2563431,2554228,1140060,3561825,2971534,3280636,1787089,1221514
MI,705099,602875,885172,638918,1247937,1189322,1639435,1120055,1668467,2264762,1972258,2614113,3444602,1202016,4057716,2239460,530304
MN,580732,485995,456940,748965,1339591,640612,683821,938471,1018322,974440,1181188,775543,1046508,541086,783588,1312058,862370
CO,552071,326619,498997,1058635,326748,1334514,778252,978216,958067,1303005,2512645,1806442,2104221,3382778,1098884,445961,2072922
SC,506310,117245,138202,382603,451397,127015,304520,826880,116430,228415,978506,256159,263285,344078,2019425,149734,788350
MD,450698,387797,373499,941793,942673,955041,1094771,1098073,352789,1484264,839446,585667,2832791,1837368,1723227,1877645,1411369
WA,449297,463772,815348,470115,359583,1355816,584244,1388010,1462241,1180449,710163,2008777,643292,3188964,2258733,2714101,1266575
FL,428138,755934,1466381,635251,1855240,794185,1920181,2114745,1521274,2195775,1640913,1903580,3006463,1163959,1545250,987181,2108613
WI,427732,496147,741080,1434608,487166,840714,745393,1059813,1066143,1894573,1390048,374361,275033,1731807,1369880,508279,897363
DE,387649,66516,220707,450388,4745,158356,208594,77935,156025,74145,74201,8553,303373,0,536407,572725,0
GA,381320,257027,399063,708995,737545,207168,123615,157359,489795,1154912,564577,1737168,280210,1948415,747318,507549,664995
ME,334468,436049,289250,646181,136073,593854,1557715,895029,575696,531145,436323,1258320,364238,184809,1819309,153742,198499
NH,308452,423803,280295,269986,127819,237894,317183,413496,288955,185977,64364,452838,568076,58059,5627,86014,84784
TX,306468,629365,894864,723222,1751331,1541045,904933,2798686,4737875,3208932,1624557,7635895,7153598,2524379,2751334,2997634,2847145
CT,291004,733580,191908,1028871,416639,159185,764679,701240,1474991,958939,959690,1294736,1168571,1214803,1828060,1090963,982889
VA,281803,381977,854711,445659,778870,691782,1316152,748363,655214,1794048,1521643,1792080,1845456,1025054,761112,1335803,636882
OR,281356,264637,174302,387052,164660,194432,544313,751967,228650,354156,79900,1598203,531970,361401,594831,1794894,801490
AZ,264753,578131,411147,1203359,822782,1053971,431628,1038521,203588,2214015,2587775,1346100,1888830,1524376,920766,1399972,301594
IN,234722,488825,654464,535997,495035,331298,197478,179496,2399292,1892428,884197,1690560,1596911,720013,694491,2491909,340408
NE,233085,86232,339015,220535,503611,420308,543419,256586,497425,585348,528551,261224,61535,348424,936887,163000,615171
TN,211758,68948,133486,261497,709104,592567,434147,663892,1410097,2920500,729608,1066956,957278,2712014,1685032,1272038,1275735
KY,197818,190844,182254,242150,354311,1093576,324512,253836,532784,174250,137316,168485,339420,1240631,728818,1466343,250502
KS,184225,136506,313986,331583,150697,239047,518931,51212,457141,26930,1107654,6000,501739,338677,9000,405446,198480
VT,177204,274140,412469,410865,240202,385223,163320,123309,156380,227053,571790,715519,565549,962266,213847,261313,309097
LA,174295,146630,114137,423403,382108,196647,831013,377679,862580,28360,705080,360997,987207,1570076,202129,78476,490000
MO,169010,465550,704592,692524,408152,940040,302206,501114,1036214,946118,1753589,1757210,308719,930689,977240,1359115,992469
AR,164414,102324,229021,196443,116639,86139,137742,60219,144950,14035,75237,18178,0,14013,329016,0,245496
NJ,128336,34801,136116,194597,32103,270794,246921,1516792,1499544,747226,1183689,2466336,151700,930308,419191,371153,1003535
UT,126072,42453,257662,90025,326074,68970,317891,625093,404493,367972,723270,579901,661325,1538900,388242,213708,102300
NM,119032,93888,656686,291700,559463,506800,881882,668767,1292570,274483,946888,810311,350081,737105,1062018,568227,383008
MT,117775,704270,481095,254103,810834,506610,550587,381033,706867,699459,866372,602634,185603,1659968,301629,729103,742287
DC,107129,41175,600221,126504,381947,589887,828577,1193537,1395599,128260,3285287,4334060,1040815,5083706,2328803,5728761,1664487
ND,101761,31872,150784,155367,19775,31830,104397,108337,77329,165181,18000,896655,150604,51997,137749,537956,332014
AK,95833,121215,679794,694357,1249889,486990,940573,715177,530032,1661978,743125,1475286,907499,1386152,1060662,1076002,1509007
SD,93618,290257,225439,330106,215674,147555,437234,18295,205600,242620,242105,334831,96424,397519,24000,49750,42000
IA,88955,200716,543617,753727,299228,333124,508376,656233,293800,123626,1302672,1354346,489967,294309,2750,521531,631699
HI,34877,190263,639942,468709,612335,784004,477985,538076,487837,1223031,565185,1218914,875832,1932060,1849417,615699,860629
