names,dates,latitude,longitude,categorical,quant1,quant2,quant3
b'Rawad',1453008863,-19.9886512,-41.43556528,Category10,1.933239161,6.052785118,6105.12312
b'Eurma',1471778579,-8.593256344,27.7426037,Category00,1.520732738,-11.06507587,143.902725
b'Taleia',1473613446,-67.46316408,-109.3667963,Category04,1.863466465,11.43734011,2019.370225
b'Niley',1481194251,-7.537009693,-32.21853961,Category03,0.745431283,19.41554329,3225.920647
b'Acey',1454402794,-17.11686578,2.949914149,Category05,1.031099637,17.7144923,4976.099324
b'Obert',1463099041,86.05055986,-138.7592937,Category00,0.820423756,-28.24008625,9725.990286
b'Kadel',1481065733,53.96513651,-174.5450838,Category04,3.485479492,9.613104072,8133.741192
b'Jaiyanna',1461933123,37.91011892,-135.5687428,Category04,0.63537334,-0.084906237,8340.323743
b'Haylei',1469302986,-79.23180919,168.41914,Category07,0.80266819,17.99362661,4695.36857
b'Ayhem',1454702028,33.31806704,56.06528281,Category09,2.353746477,-9.800971455,1558.909278
b'Fedel',1477812042,-18.63113411,74.34045658,Category10,2.279197923,14.21296258,603.2509193
b'Atha',1466150350,-15.88293521,33.7556339,Category10,2.313199129,-9.623634714,7044.723136
b'Taylene',1472722914,69.42503444,-124.7286353,Category05,1.078249324,24.54346792,81.628608
b'Genina',1482225994,61.6855828,141.923636,Category08,1.544819207,-29.35596509,4522.289948
b'Elixander',1463551529,-67.77074739,56.03608119,Category09,0.584292753,18.7469037,5441.181421
b'Jahnya',1461510086,4.296018905,161.0494278,Category02,0.596828883,-15.44151114,5482.285192
b'Azaya',1458175236,-89.10663696,-150.3748957,Category09,2.465521947,-8.731148188,6751.80724
b'Anayiah',1457540421,-51.36296427,-128.8721789,Category00,2.251501782,-8.480145252,5394.55344
b'Delancey',1473522921,45.30100681,-74.00246102,Category02,2.904659289,3.565720382,3019.232739
b'Kristyann',1473231708,44.0425609,82.12442201,Category09,0.099042659,25.77918959,7321.643212
b'Maricus',1479361717,23.63505259,-34.79619727,Category09,3.096746468,16.46059668,1742.518054
b'Londrea',1451647803,24.24653369,145.2375639,Category05,0.784889099,23.34343095,3115.274165
b'Estevon',1471407689,39.87226267,117.4994685,Category09,2.581134093,4.067460369,1917.905564
b'Eain',1476578169,-47.09140924,129.3946003,Category08,1.700879681,-5.844089129,9803.118989
b'Shavell',1475365666,-0.5273273,63.82495171,Category09,1.416720245,-0.169746758,8947.378554
b'Dashani',1462194658,49.70476403,-109.135565,Category07,0.232638912,4.996005937,9492.396614
b'Eldonna',1453695272,-21.26964759,140.7763091,Category00,2.243974173,-19.22678788,8765.93126
b'Rahn',1464104767,26.07616052,-64.50810234,Category06,3.072518317,10.65014533,8885.653341
b'Minot',1473935803,-87.11424557,-32.31409389,Category02,0.063764144,-10.20802294,2905.102566
b'Raymonda',1471699988,-9.793353012,-8.718551847,Category07,2.736112508,-2.197506357,1269.268156
b'Ashston',1462299682,-29.97976481,-64.40570373,Category06,0.283297117,-21.63301487,4891.551749
b'Koal',1474163094,-78.94052815,52.6264007,Category07,0.524729748,-24.59751989,7054.955748
b'Fredy',1477321084,-83.90634701,-16.20124919,Category04,2.119155178,18.0084629,2487.582911
b'Gentle',1456959111,-4.052460452,-155.2962428,Category00,2.154434233,-28.40895352,5075.139501
b'Rito',1459661977,-23.98965394,-7.969360004,Category06,2.251157215,-3.075502437,7935.373561
b'Telisha',1457714040,2.389508138,98.36264477,Category05,2.11270786,-0.549777969,164.0031028
b'Deyla',1481619486,-77.17114225,-2.007174372,Category10,2.958817959,-6.392446624,5285.971992
b'Aniysa',1453739591,-44.44398372,3.682889939,Category10,0.790111964,-8.476904913,5635.925674
b'Azuredee',1473859270,9.715688545,137.8445077,Category03,1.826339952,-29.63928664,8990.959983
b'Jaicee',1481396775,-4.39600492,175.4538059,Category05,2.042577735,21.21143275,5037.232501
b'Kyuana',1470825697,32.34906544,-14.91993439,Category06,0.491573677,26.06614033,5070.461918
b'Racheal',1477936728,12.56590204,42.07559125,Category03,0.055655087,-12.09609236,5911.972942
b'Camaryn',1453021705,46.74305168,-64.71612796,Category00,0.559837804,-14.79101795,2213.153508
b'Satoya',1451976650,55.16282154,-147.4668034,Category00,0.147825749,22.91178317,3483.862169
b'Breeann',1464103186,75.04027281,35.3571662,Category06,1.053261449,-16.84965208,359.9979185
b'Matsuye',1453023892,-59.48801451,-14.91237036,Category00,2.589934799,28.1175991,6872.727788
b'Jasontyler',1473590837,35.66170279,-51.0173965,Category00,0.855567739,-4.303965101,3937.71251
b'Shuchi',1467219056,14.56943285,106.496817,Category10,2.059966498,-26.05695254,7982.445086
b'Azarae',1459770163,80.06750467,-116.2988421,Category08,2.986077528,-15.90048599,1199.780618
b'Tsitsiki',1470898639,-79.41637518,103.0135479,Category09,1.24536335,25.13616162,4943.49028
b'Netasha',1476852341,14.75607821,2.381903544,Category00,3.136227898,-9.994195625,4112.759666
b'Thordis',1472508583,-87.28040676,-113.5819661,Category04,1.68601974,28.36190214,9865.653052
b'Tariek',1461173105,-60.31818113,-81.31130943,Category09,3.167552558,-14.67372541,91.00870809
b'Haizel',1462089478,-19.18711362,5.844642098,Category09,2.636113817,-23.86663829,2477.344336
b'Mercedee',1452920339,2.621155557,-15.90226339,Category03,2.495064906,-5.192230043,2710.102671
b'Tederick',1479749259,-23.41101243,144.0386396,Category10,2.696324215,-25.1148544,9730.817243
b'Altrice',1472265884,-64.20958385,169.1261299,Category04,3.220968298,-9.296130838,9004.020067
b'Seanette',1466967780,-61.10645312,-63.99251081,Category05,1.051271804,27.23785319,5212.826316
b'Carrieann',1456873431,59.10079929,154.6068149,Category06,2.20112758,-13.11631534,5985.183631
b'Jaquory',1451959223,-86.10782918,5.194806719,Category09,1.791529324,-26.86677939,7300.984682
b'Landenn',1477542054,9.12306368,11.59089786,Category03,1.463080154,13.42118186,8480.710622
b'Erandi',1480184760,27.34392376,78.79616791,Category04,3.150256599,22.09902471,7240.38708
b'Keaundra',1482945699,-63.80621028,-54.3338582,Category07,0.340713993,-12.6248612,4130.469915
b'Artemisia',1479129350,86.27986202,10.99038261,Category06,3.11216473,24.48561218,6131.146181
b'Lillyah',1482544728,47.82211506,-9.817594341,Category10,2.882721626,-6.162013575,2505.808656
b'Peppi',1472051316,-43.88119067,122.3440703,Category04,1.493811111,22.28186477,1003.222303
b'Yariana',1481693558,-44.33765127,-80.21237068,Category06,1.936985834,-28.67900841,2288.314668
b'Jourden',1453914309,32.19561602,-172.2573687,Category06,1.085254213,21.79767206,753.5619143
b'Zendayah',1476560691,-85.49238259,-158.4377516,Category10,0.208187793,13.2042328,4904.319172
b'Ershel',1482611082,27.85490949,113.9130383,Category08,3.266677821,11.33308916,4838.569889
b'Kaius',1463277625,-17.24824171,-51.16886665,Category02,1.871320369,7.136789515,6768.752394
b'Tanekia',1476008275,-64.12814379,36.0244616,Category07,0.769786865,3.308625395,9473.570407
b'Artez',1456130125,45.54311109,-48.99735154,Category08,2.067841646,-17.5492638,5053.277684
b'Aaryn',1462072011,-55.06876883,164.3255476,Category08,2.410307264,-2.401582748,4905.755758
b'Leoh',1471493503,-35.22730708,-86.03723007,Category02,2.730961383,-23.90266557,7996.138974
b'Tyshe',1458170905,-86.89303223,152.7736297,Category02,2.129800427,-24.23951242,5785.847653
b'Rolande',1481483256,-7.637751743,76.62404317,Category06,2.396233981,12.23210288,8390.998444
b'Justis',1472754994,89.82152465,-106.1582447,Category09,2.992401534,-29.81981817,6587.891041
b'Azucena',1454170964,55.45947474,-164.2658638,Category04,2.099083784,-7.402527348,9675.970132
b'Daniel',1471325966,52.85388071,76.4002323,Category03,3.443123001,-24.72713161,5103.258549
b'Jahari',1451814886,39.01045153,165.6521575,Category07,3.330017446,28.74973137,9026.457131
b'Shaquandra',1457706105,-15.37446529,2.247796173,Category03,2.392488765,5.125888466,2848.634277
b'Mariaeduarda',1455416089,-0.951099112,-71.27293949,Category02,1.360323916,14.19720943,8241.431281
b'Emyah',1461991874,27.0120963,99.72200937,Category08,2.090197056,9.91460401,75.9778957
b'Herbie',1473969329,-55.98904417,-64.80066232,Category05,0.93835019,4.303616564,9755.688925
b'Sander',1475664092,-37.53444079,-102.3981554,Category03,1.847531726,10.36140366,9744.618227
b'Aderyn',1452840439,-32.8575254,-151.0373876,Category07,1.900452806,11.17438849,5328.399571
b'Kennard',1461032532,-19.29613158,171.3623596,Category00,2.661800978,-4.993437835,1686.588967
b'Cleman',1459804077,-24.04232518,66.71741329,Category10,3.09777821,10.36991154,4482.503176
b'Praylee',1474551419,49.34496542,-39.16669324,Category06,0.730706143,-15.03266776,7783.190613
b'Kahtai',1480388935,41.02926145,-10.78368243,Category09,1.965983898,-11.33134623,8456.719986
b'Diyan',1465761691,-3.070182572,47.30568655,Category06,1.061707763,-11.53503205,4888.662965
b'Annicia',1452486923,-55.16399379,-37.47647374,Category06,3.393145884,19.09791485,858.9058817
b'Maebell',1464626084,70.7952756,58.88964302,Category10,2.270043223,-19.2942507,4458.898577
b'Hodge',1461536010,25.94838,-117.9411588,Category08,0.669614799,-3.689212288,1775.203641
b'Ambrosha',1466685330,-37.38050534,166.09807,Category04,2.25361491,-28.26754481,551.566685
b'Alveda',1482827480,-60.08825373,-102.8352812,Category05,0.034224396,20.06064657,5804.965628
b'Seraya',1473338248,-18.88747913,54.46220396,Category04,0.684847022,-8.28272886,8679.097394
b'Tavontae',1470300912,3.006597015,-68.59518524,Category04,1.418236797,12.25254229,2298.424231
b'Denicka',1467190580,-45.37275209,41.62128155,Category08,0.776981559,-20.93240609,2219.043337
b'Mihir',1475607619,9.788184195,-93.93451358,Category09,1.747198233,-0.859527337,6373.890001
b'Kortny',1455177438,63.49237322,109.8266747,Category05,1.85487141,-16.5757591,392.2699224
b'Darelys',1482453422,74.86048115,157.8420879,Category07,2.468742709,-8.125328733,4126.536941
b'Effy',1482984696,-51.605549,-125.2500498,Category04,0.999290043,11.92971296,4074.142224
b'Shamika',1475435823,42.363221,4.926075866,Category05,1.427417489,8.93814696,9517.114282
b'Alenis',1476272550,-58.11478915,138.8120744,Category05,2.383009779,-13.27587979,3156.906511
b'Zachry',1474941857,47.20015385,174.255656,Category10,2.94136893,-10.61215049,159.4296377
b'Vyan',1453445171,-26.99064491,26.20572219,Category02,0.132948287,0.432830401,9841.394247
b'Destiney',1471904555,-58.09047608,-68.46352365,Category07,1.058382069,-23.28385481,6052.271867
b'Nikila',1474512570,-78.76774196,17.17307729,Category07,1.274467021,-8.58616649,8431.10061
b'Bobi',1479462750,21.85157535,-69.05975716,Category07,1.795226263,-1.292756803,8877.703399
b'Faithann',1482352983,-1.345451821,111.8725808,Category04,2.200385166,1.340630255,4286.333639
b'Demoni',1472069075,-31.39161072,-92.05716694,Category08,1.011778364,9.868180837,4870.30794
b'Laticia',1465775071,55.07553003,-67.92878725,Category07,1.30580308,27.62926918,7743.390832
b'Shelvey',1465210241,-64.28256439,159.7605861,Category10,3.09315409,-26.48899192,7802.559369
b'Tawyna',1465204370,58.17926655,-112.0018075,Category03,1.847482083,21.26541294,918.5211166
b'Karaann',1477482711,-37.35825087,-11.87656276,Category06,1.887388322,29.357025,4640.937844
b'Sarii',1459611736,-44.60298291,78.42987794,Category08,0.362448109,21.088447,4133.863939
b'Naydeli',1462430109,-81.14510507,158.8789212,Category07,0.802051544,4.535357103,677.3859656
b'Nashell',1455100099,-41.62780801,-155.6494292,Category00,0.341798024,6.948850787,4345.22816
b'Judaline',1452824501,-36.5425583,-77.29059187,Category10,1.970989908,3.3919682,3370.926105
b'Sindey',1479895432,-60.48025336,-140.0869788,Category04,2.910676329,15.37813006,4207.350457
